SchemaName,TableName,RowCount
dbo,_arstmt,3
dbo,_cappRFND,3
dbo,_glledg,26701
dbo,_RFNDD,2
dbo,_roddpibdg,48
dbo,ad_AddressIssues,312069
dbo,ad_Area,42
dbo,ad_PortalIssues,20017
dbo,ad_PostalCodes,33265
dbo,ad_Regions,5
dbo,ad1,2934
dbo,AdV,543
dbo,AG_GENREBCOMP_DATE,0
dbo,ag_onhold,0
dbo,age,1852
dbo,Aging,39083
dbo,aging1,1887
dbo,AGINGdata,3047
dbo,AGMLP,325
dbo,ALLOCATION_upd,5823
dbo,ap1099,1245
dbo,ap99up,0
dbo,apamrt,0
dbo,apamrth,0
dbo,apcacb,15
dbo,apcapp,46398
dbo,apcappbu7Feb13,73
dbo,apchck,19175
dbo,apcont,0
dbo,apdapp,3600
dbo,apdist,16804
dbo,apdist_upd,12657
dbo,apdisth,128118
dbo,apdnot,4
dbo,apdsta,0
dbo,apdstah,0
dbo,apdstc,0
dbo,apetrs,0
dbo,apfinc,0
dbo,apfinch,0
dbo,apinvc,4259
dbo,apinvcbu7Feb13,26
dbo,apinvch,45083
dbo,apjrnl,348
dbo,apraca,0
dbo,apracah,0
dbo,apracq,5206
dbo,apracqh,9748
dbo,aprchg,0
dbo,aprchgh,6
dbo,aprcrd,0
dbo,aprcri,0
dbo,apsyst,1
dbo,apvacb,0
dbo,apvact,0
dbo,apvadr,0
dbo,apvapp,367
dbo,apvark,0
dbo,apvchk,194
dbo,apvcnt,0
dbo,apvend,872
dbo,apvendh,0
dbo,apvgla,0
dbo,apvglr,486
dbo,apvinv,326
dbo,apvnot,21
dbo,aradmf,2
dbo,aragng,0
dbo,aramrt,0
dbo,aramrth,0
dbo,arc,30437
dbo,arcacb,58
dbo,arcacbh,73
dbo,arcact,2248
dbo,arcadr,109594
dbo,arcadr_it_log,1664
dbo,arcadrh,0
dbo,arcapp,201173
dbo,arcapp$,1680
dbo,arcapp_bu11Nov22,17
dbo,arcapp_cuid,12
dbo,arcapp_cust_lvoid,57
dbo,arcappaug,821
dbo,arcappBU10Dec12,35413
dbo,arcapph,3611692
dbo,arcappNov12,1062
dbo,arcard,24
dbo,arcark,2248
dbo,arcash,81667
dbo,arcashh,1406610
dbo,arcashlog,252368
dbo,arccnt,0
dbo,arcdsc,9
dbo,arcnot,110716
dbo,arcnot1,15202
dbo,arcont,28313
dbo,arconth,0
dbo,arcpos,138437
dbo,arcust,119616
dbo,arcust_it_log,10
dbo,arcusth,35
dbo,ardeps,3
dbo,ardisc,9
dbo,ardpst,946361
dbo,aretrs,0
dbo,arfchg,0
dbo,arfchgh,0
dbo,arfrgt,8
dbo,arfrwt,29109
dbo,arikit,4851844
dbo,arinvc,275883
dbo,arinvc_,1
dbo,arinvc_bu11Oct18,2629
dbo,arinvcgl,30372
dbo,arinvch,5830255
dbo,arinvch_del,5
dbo,arinvup,672
dbo,arirmk,165277
dbo,aritci,0
dbo,aritrk,14117
dbo,aritrs,769633
dbo,aritrs_T,2037623
dbo,aritrsh,21607444
dbo,aritrshDAT,0
dbo,aritrshEXP,26094
dbo,aritrskit,9669
dbo,aritsp,157402
dbo,aritsph,5040051
dbo,arjrnl,56045
dbo,arjtrs,139981
dbo,aropcr,0
dbo,aropcr_test,1
dbo,arpdtb,2
