SchemaName,TableName,ColumnName,DataType,max_length,precision,scale,is_nullable,is_identity,IsPrimaryKey
dbo,_arstmt,lalign,smallint,2,5,0,1,0,
dbo,_arstmt,cstmtbeg,varchar,10,0,0,1,0,
dbo,_arstmt,cstmtend,char,10,0,0,1,0,
dbo,_arstmt,llinclfull,smallint,2,5,0,1,0,
dbo,_arstmt,ccustfilter,varchar,250,0,0,1,0,
dbo,_arstmt,cbalfilter,varchar,250,0,0,1,0,
dbo,_arstmt,cageon,varchar,10,0,0,1,0,
dbo,_arstmt,chistfiles1,varchar,250,0,0,1,0,
dbo,_arstmt,chistfiles2,varchar,250,0,0,1,0,
dbo,_arstmt,cexcltrsdt,char,10,0,0,1,0,
dbo,_arstmt,lprintcopy1,smallint,2,5,0,1,0,
dbo,_arstmt,lprintcopy2,smallint,2,5,0,1,0,
dbo,_arstmt,lprintcopy3,smallint,2,5,0,1,0,
dbo,_arstmt,lprintcopy4,smallint,2,5,0,1,0,
dbo,_arstmt,lprintcopy5,smallint,2,5,0,1,0,
dbo,_arstmt,llconstmt,smallint,2,5,0,1,0,
dbo,_arstmt,linclzerobal,smallint,2,5,0,1,0,
dbo,_arstmt,cxdays,char,10,0,0,1,0,
dbo,_arstmt,ccustfilterb,varchar,250,0,0,1,0,
dbo,_arstmt,ccustfilterc,varchar,250,0,0,1,0,
dbo,_cappRFND,cuid,char,15,0,0,0,0,
dbo,_cappRFND,ccustno,char,10,0,0,0,0,
dbo,_cappRFND,cinvno,char,10,0,0,0,0,
dbo,_cappRFND,crcptno,char,10,0,0,0,0,
dbo,_cappRFND,ccinvno,char,10,0,0,0,0,
dbo,_cappRFND,cpcustno,char,10,0,0,0,0,
dbo,_cappRFND,cccustno,char,10,0,0,0,0,
dbo,_cappRFND,crfndno,char,10,0,0,0,0,
dbo,_cappRFND,caracc,char,30,0,0,1,0,
dbo,_cappRFND,cdiscacc,char,30,0,0,1,0,
dbo,_cappRFND,cadjacc,char,30,0,0,1,0,
dbo,_cappRFND,cdebtacc,char,30,0,0,1,0,
dbo,_cappRFND,cappuid,char,15,0,0,0,0,
dbo,_cappRFND,cinvcuid,char,15,0,0,0,0,
dbo,_cappRFND,crfnduid,char,15,0,0,0,0,
dbo,_cappRFND,ctogl,char,1,0,0,1,0,
dbo,_cappRFND,dpaid,datetime,8,23,3,0,0,
dbo,_cappRFND,lvoid,smallint,2,5,0,0,0,
dbo,_cappRFND,ltemp,smallint,2,5,0,0,0,
dbo,_cappRFND,npaidamt,numeric,9,18,4,0,0,
dbo,_cappRFND,ndiscamt,numeric,9,18,4,0,0,
dbo,_cappRFND,nadjamt,numeric,9,18,4,0,0,
dbo,_cappRFND,ndebtamt,numeric,9,18,4,0,0,
dbo,_cappRFND,ncbkamt,numeric,9,18,4,0,0,
dbo,_cappRFND,nmcvaramt,numeric,9,18,4,0,0,
dbo,_cappRFND,nfpaidamt,numeric,9,18,4,0,0,
dbo,_cappRFND,nfdiscamt,numeric,9,18,4,0,0,
dbo,_cappRFND,nfadjamt,numeric,9,18,4,0,0,
dbo,_cappRFND,nfdebtamt,numeric,9,18,4,0,0,
dbo,_cappRFND,nfcbkamt,numeric,9,18,4,0,0,
dbo,_glledg,csortby,varchar,50,0,0,1,0,
dbo,_glledg,cperiod,char,20,0,0,1,0,
dbo,_glledg,cfilter1a,varchar,250,0,0,1,0,
dbo,_glledg,cfilter1b,varchar,250,0,0,1,0,
dbo,_glledg,cfilter1c,varchar,250,0,0,1,0,
dbo,_glledg,cfilter1d,varchar,250,0,0,1,0,
dbo,_glledg,cfilter1e,varchar,250,0,0,1,0,
dbo,_glledg,cfilter1f,varchar,250,0,0,1,0,
dbo,_glledg,cfilter1g,varchar,250,0,0,1,0,
dbo,_glledg,cfilter1h,varchar,250,0,0,1,0,
dbo,_glledg,cstatus,char,1,0,0,1,0,
dbo,_glledg,lincludezerobal,smallint,2,5,0,1,0,
dbo,_glledg,lincludenotrans,smallint,2,5,0,1,0,
dbo,_glledg,caddmodid,char,2,0,0,1,0,
dbo,_glledg,lprtdtl,smallint,2,5,0,1,0,
dbo,_glledg,lmulticurr,smallint,2,5,0,1,0,
dbo,_glledg,lacctnewpage,smallint,2,5,0,1,0,
dbo,_RFNDD,cuid,char,15,0,0,0,0,
dbo,_RFNDD,ccustno,char,10,0,0,0,0,
dbo,_RFNDD,crfndno,char,10,0,0,0,0,
dbo,_RFNDD,creference,char,20,0,0,0,0,
dbo,_RFNDD,cdepno,char,10,0,0,0,0,
dbo,_RFNDD,cpaycode,char,10,0,0,0,0,
dbo,_RFNDD,ccardno,char,50,0,0,0,0,
dbo,_RFNDD,cbankno,char,10,0,0,0,0,
dbo,_RFNDD,ccurrcode,char,3,0,0,0,0,
dbo,_RFNDD,drefund,datetime,8,23,3,0,0,
dbo,_RFNDD,dcreate,datetime,8,23,3,0,0,
dbo,_RFNDD,lvoid,smallint,2,5,0,0,0,
dbo,_RFNDD,nbankamt,numeric,9,18,4,0,0,
dbo,_RFNDD,nrfndamt,numeric,9,18,4,0,0,
dbo,_RFNDD,nfrfndamt,numeric,9,18,4,0,0,
dbo,_RFNDD,nxchgrate,numeric,9,16,6,0,0,
dbo,_RFNDD,centerby,char,30,0,0,0,0,
dbo,_RFNDD,creason,char,10,0,0,0,0,
dbo,_RFNDD,crfndby,char,30,0,0,0,0,
dbo,_RFNDD,lgeneft,smallint,2,5,0,0,0,
dbo,_RFNDD,cadjtype,char,1,0,0,0,0,
dbo,_roddpibdg,cItemNo,char,20,0,0,0,0,
dbo,_roddpibdg,cWarehouse,char,10,0,0,0,0,
dbo,_roddpibdg,dEndDate,datetime,8,23,3,1,0,
dbo,_roddpibdg,nUnits,numeric,9,12,4,0,0,
dbo,_roddpibdg,nDollars,numeric,9,12,2,0,0,
dbo,_roddpibdg,llocked,smallint,2,5,0,0,0,
dbo,_roddpibdg,cusername,nchar,20,0,0,1,0,
dbo,ad_AddressIssues,ID,int,4,10,0,0,1,
dbo,ad_AddressIssues,cCustno,char,10,0,0,1,0,
dbo,ad_AddressIssues,cAddrno,char,10,0,0,1,0,
dbo,ad_AddressIssues,ErrorMsg,nvarchar,-1,0,0,1,0,
dbo,ad_AddressIssues,Comment,nvarchar,-1,0,0,1,0,
dbo,ad_AddressIssues,lResolved,bit,1,1,0,1,0,
dbo,ad_AddressIssues,dAdded,datetime,8,23,3,1,0,
dbo,ad_AddressIssues,dUpdated,datetime,8,23,3,1,0,
dbo,ad_Area,Region,float,8,53,0,1,0,
dbo,ad_Area,Codes,nvarchar,20,0,0,1,0,
dbo,ad_Area,FromCode,nvarchar,8,0,0,1,0,
dbo,ad_Area,ToCode,nvarchar,8,0,0,1,0,
dbo,ad_Area,Area,nvarchar,200,0,0,1,0,
dbo,ad_Area,Province,nvarchar,60,0,0,1,0,
dbo,ad_Area,HubCode,char,10,0,0,1,0,
dbo,ad_PortalIssues,ID,int,4,10,0,0,1,
dbo,ad_PortalIssues,cSono,char,10,0,0,1,0,
dbo,ad_PortalIssues,ErrorMsg,nvarchar,-1,0,0,1,0,
dbo,ad_PortalIssues,Comment,nvarchar,-1,0,0,1,0,
dbo,ad_PortalIssues,lResolved,bit,1,1,0,1,0,
dbo,ad_PortalIssues,dAdded,datetime,8,23,3,1,0,
dbo,ad_PortalIssues,dUpdated,datetime,8,23,3,1,0,
dbo,ad_PostalCodes,ID,int,4,10,0,0,1,
dbo,ad_PostalCodes,Suburb,nvarchar,100,0,0,0,0,
dbo,ad_PostalCodes,PostalCode_Box,nchar,20,0,0,1,0,
dbo,ad_PostalCodes,PostalCode_Street,nchar,20,0,0,1,0,
dbo,ad_PostalCodes,AreaLocal,nvarchar,100,0,0,1,0,
dbo,ad_PostalCodes,Province,nvarchar,100,0,0,1,0,
dbo,ad_PostalCodes,Region,int,4,10,0,1,0,
dbo,ad_PostalCodes,cState,char,10,0,0,1,0,
dbo,ad_PostalCodes,cPostcode,char,10,0,0,1,0,
dbo,ad_Regions,ID,int,4,10,0,1,0,
dbo,ad_Regions,Name,nvarchar,-1,0,0,1,0,
dbo,ad1,Code,nvarchar,510,0,0,1,0,
dbo,ad1,Desc,nvarchar,510,0,0,1,0,
dbo,ad1,ad,nvarchar,510,0,0,1,0,
dbo,ad1,sup,nvarchar,510,0,0,1,0,
dbo,AdV,citemno,nvarchar,510,0,0,1,0,
dbo,AdV,AdV,float,8,53,0,1,0,
dbo,AG_GENREBCOMP_DATE,ccustno,char,10,0,0,0,0,
dbo,AG_GENREBCOMP_DATE,ccompany,char,40,0,0,0,0,
dbo,AG_GENREBCOMP_DATE,dcreate,datetime,8,23,3,0,0,
dbo,AG_GENREBCOMP_DATE,npsalesOld,numeric,9,16,4,0,0,
dbo,AG_GENREBCOMP_DATE,npsalesLat,numeric,9,16,4,0,0,
dbo,AG_GENREBCOMP_DATE,npsalesGrw,numeric,9,16,4,0,0,
dbo,AG_GENREBCOMP_DATE,npsalesPcn,numeric,9,16,4,0,0,
dbo,AG_GENREBCOMP_DATE,ngsalesOld,numeric,9,16,4,0,0,
dbo,AG_GENREBCOMP_DATE,ngsalesLat,numeric,9,16,4,0,0,
dbo,AG_GENREBCOMP_DATE,ngsalesGrw,numeric,9,16,4,0,0,
dbo,AG_GENREBCOMP_DATE,ngsalesPcn,numeric,9,16,4,0,0,
dbo,AG_GENREBCOMP_DATE,npRecruit,numeric,9,16,4,0,0,
dbo,AG_GENREBCOMP_DATE,ngRecruit,numeric,9,16,4,0,0,
dbo,AG_GENREBCOMP_DATE,dgenerate,datetime,8,23,3,0,0,
dbo,AG_GENREBCOMP_DATE,ngNettSales,numeric,9,16,4,1,0,
dbo,AG_GENREBCOMP_DATE,ngTotIncome,numeric,9,16,4,1,0,
dbo,AG_GENREBCOMP_DATE,ngTotUnits,numeric,9,16,4,1,0,
dbo,AG_GENREBCOMP_DATE,ngTotIvoice,numeric,9,16,4,1,0,
dbo,AG_GENREBCOMP_DATE,ngSalesNDisc,numeric,9,16,4,1,0,
dbo,ag_onhold,ccustno,varchar,50,0,0,1,0,
dbo,ag_onhold,ccompany,varbinary,100,0,0,1,0,
dbo,ag_onhold,date,smalldatetime,4,16,0,1,0,
dbo,ag_onhold,balance,numeric,9,18,2,1,0,
dbo,age,ntotal,numeric,17,38,4,1,0,
dbo,age,CCUSTNO,char,10,0,0,1,0,
dbo,Aging,xsortby,char,10,0,0,0,0,
dbo,Aging,xsortby2,varchar,10,0,0,1,0,
dbo,Aging,cinvno,char,10,0,0,0,0,
dbo,Aging,cuid,char,15,0,0,0,0,
dbo,Aging,dinvoice,datetime,8,23,3,0,0,
dbo,Aging,ddue,datetime,8,23,3,1,0,
dbo,Aging,ccustno,char,10,0,0,0,0,
dbo,Aging,cslpnno,char,10,0,0,0,0,
dbo,Aging,cpaycode,char,10,0,0,0,0,
dbo,Aging,caracc,char,30,0,0,0,0,
dbo,Aging,dcreate,datetime,8,23,3,0,0,
dbo,Aging,ctype,char,1,0,0,0,0,
dbo,Aging,ccurrcode,char,3,0,0,0,0,
dbo,Aging,nxchgrate,numeric,9,16,6,0,0,
dbo,Aging,cpycddesc,char,35,0,0,0,0,
dbo,Aging,cname,char,30,0,0,0,0,
dbo,Aging,caraccdesc,char,35,0,0,0,0,
dbo,Aging,ccompany,char,40,0,0,0,0,
dbo,Aging,cfname,char,30,0,0,0,0,
dbo,Aging,clname,char,30,0,0,0,0,
dbo,Aging,cphone1,char,20,0,0,0,0,
dbo,Aging,cphone2,char,20,0,0,0,0,
dbo,Aging,ccustslpn,char,10,0,0,0,0,
dbo,Aging,drptdate,datetime,8,23,3,0,0,
dbo,Aging,nfinamtt,numeric,9,18,4,0,0,
dbo,Aging,nffinamtt,numeric,9,18,4,0,0,
dbo,Aging,nordby,int,4,10,0,0,0,
dbo,Aging,dlastpaid,datetime,8,23,3,1,0,
dbo,Aging,nfinamt,numeric,9,18,4,0,0,
dbo,Aging,namount,numeric,13,24,4,1,0,
dbo,Aging,nffinamt,numeric,9,18,4,0,0,
dbo,Aging,nfamount,numeric,13,24,4,1,0,
dbo,Aging,nBalance,numeric,9,13,2,0,0,
dbo,Aging,nFBalance,numeric,9,13,2,0,0,
dbo,aging1,nbalance,numeric,9,13,2,0,0,
dbo,aging1,nfbalance,numeric,9,13,2,0,0,
dbo,aging1,xsortby,char,10,0,0,0,0,
dbo,aging1,xsortby2,varchar,10,0,0,1,0,
dbo,aging1,cinvno,char,10,0,0,0,0,
dbo,aging1,dinvoice,datetime,8,23,3,0,0,
dbo,aging1,ddue,datetime,8,23,3,1,0,
dbo,aging1,ccustno,char,10,0,0,0,0,
dbo,aging1,cslpnno,char,10,0,0,0,0,
dbo,aging1,cpaycode,char,10,0,0,0,0,
dbo,aging1,caracc,char,30,0,0,0,0,
dbo,aging1,dcreate,datetime,8,23,3,0,0,
dbo,aging1,ctype,char,1,0,0,0,0,
dbo,aging1,ccurrcode,char,3,0,0,0,0,
dbo,aging1,nxchgrate,numeric,9,16,6,0,0,
dbo,aging1,cpycddesc,char,35,0,0,0,0,
dbo,aging1,cname,char,30,0,0,0,0,
dbo,aging1,caraccdesc,char,35,0,0,0,0,
dbo,aging1,ccompany,char,40,0,0,0,0,
dbo,aging1,cfname,char,30,0,0,0,0,
dbo,aging1,clname,char,30,0,0,0,0,
dbo,aging1,cphone1,char,20,0,0,0,0,
dbo,aging1,cphone2,char,20,0,0,0,0,
dbo,aging1,ccustslpn,char,10,0,0,0,0,
