ForeignKeyName,ParentSchema,ParentTable,ParentColumn,ReferencedSchema,ReferencedTable,ReferencedColumn,OnDelete,OnUpdate
FK__apdist__camrtexa__4A4F3449,dbo,apdist,camrtexacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apdist__cglacc__382796C5,dbo,apdist,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apdisth__camrtex__4B435882,dbo,apdisth,camrtexacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apdisth__cglacc__391BBAFE,dbo,apdisth,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apdsta__capacc__2CF3DB8C,dbo,apdsta,capacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apdstah__capacc__2DE7FFC5,dbo,apdstah,capacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apdstc__capacc__2EDC23FE,dbo,apdstc,capacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apdstc__ccashacc__2FD04837,dbo,apdstc,ccashacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__aprcrd__cglacc__3A0FDF37,dbo,aprcrd,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__aprcri__capacc__3B040370,dbo,aprcri,capacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__caccreca__3BF827A9,dbo,apsyst,caccrecacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__cadjacc__3CEC4BE2,dbo,apsyst,cadjacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__capacc__3DE0701B,dbo,apsyst,capacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__ccardacc__3ED49454,dbo,apsyst,ccardacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__cdfrexpa__4772C79E,dbo,apsyst,cdfrexpacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__cdiscacc__3FC8B88D,dbo,apsyst,cdiscacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__cexpacc__40BCDCC6,dbo,apsyst,cexpacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__cfcstacc__41B100FF,dbo,apsyst,cfcstacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__cintacc__42A52538,dbo,apsyst,cintacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__cnopayac__43994971,dbo,apsyst,cnopayacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__cothacc1__448D6DAA,dbo,apsyst,cothacc1,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__cothacc2__458191E3,dbo,apsyst,cothacc2,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__cothacc3__4675B61C,dbo,apsyst,cothacc3,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__cppacc__4769DA55,dbo,apsyst,cppacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__cprepacc__485DFE8E,dbo,apsyst,cprepacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__cptaxacc__495222C7,dbo,apsyst,cptaxacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__crevlacc__4A464700,dbo,apsyst,crevlacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__cscstacc__4B3A6B39,dbo,apsyst,cscstacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__csuspacc__4C2E8F72,dbo,apsyst,csuspacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apsyst__ctaxwhac__4D22B3AB,dbo,apsyst,ctaxwhacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apvapp__capacc__4E16D7E4,dbo,apvapp,capacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apvapp__ccardacc__4F0AFC1D,dbo,apvapp,ccardacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apvend__capacc__4FFF2056,dbo,apvend,capacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apvend__cdfrexpa__4866EBD7,dbo,apvend,cdfrexpacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apvend__cppacc__50F3448F,dbo,apvend,cppacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apvendh__capacc__51E768C8,dbo,apvendh,capacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apvendh__cdfrexp__495B1010,dbo,apvendh,cdfrexpacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apvendh__cppacc__52DB8D01,dbo,apvendh,cppacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apvgla__cglacc__53CFB13A,dbo,apvgla,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__apvglr__cglacc__54C3D573,dbo,apvglr,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arcapp__cadjacc__55B7F9AC,dbo,arcapp,cadjacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arcapp__caracc__56AC1DE5,dbo,arcapp,caracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arcapp__cdebtacc__57A0421E,dbo,arcapp,cdebtacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arcapp__cdiscacc__58946657,dbo,arcapp,cdiscacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arcapph__cadjacc__59888A90,dbo,arcapph,cadjacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arcapph__caracc__5A7CAEC9,dbo,arcapph,caracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arcapph__cdebtac__5B70D302,dbo,arcapph,cdebtacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arcapph__cdiscac__5C64F73B,dbo,arcapph,cdiscacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arcust__caracc__5D591B74,dbo,arcust,caracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arcusth__caracc__5E4D3FAD,dbo,arcusth,caracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arfrgt__cfrevacc__5F4163E6,dbo,arfrgt,cfrevacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arinvc__caracc__6035881F,dbo,arinvc,caracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arinvch__caracc__6129AC58,dbo,arinvch,caracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arrevn__ccogsacc__621DD091,dbo,arrevn,ccogsacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arrevn__ccvaracc__2C54BD0E,dbo,arrevn,ccvaracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arrevn__cdiscacc__6311F4CA,dbo,arrevn,cdiscacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arrevn__crevnacc__64061903,dbo,arrevn,crevnacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arrevn__crtrnacc__64FA3D3C,dbo,arrevn,crtrnacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__cadjtacc__65EE6175,dbo,arsyst,cadjtacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__caracc__66E285AE,dbo,arsyst,caracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__cccostac__36483B9C,dbo,arsyst,cccostacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__ccdiscac__373C5FD5,dbo,arsyst,ccdiscacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__ccobliac__3830840E,dbo,arsyst,ccobliacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__ccvaracc__67D6A9E7,dbo,arsyst,ccvaracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__cdebtacc__68CACE20,dbo,arsyst,cdebtacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__cdfrreva__336BCEF1,dbo,arsyst,cdfrrevacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__cdpstacc__69BEF259,dbo,arsyst,cdpstacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__cfchgacc__6AB31692,dbo,arsyst,cfchgacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__cfrevacc__6BA73ACB,dbo,arsyst,cfrevacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__ciadjacc__6C9B5F04,dbo,arsyst,ciadjacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__cinvtacc__6D8F833D,dbo,arsyst,cinvtacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__cinvtacc__6E83A776,dbo,arsyst,cinvtaccns,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__cpadjacc__6F77CBAF,dbo,arsyst,cpadjacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__cpdisacc__706BEFE8,dbo,arsyst,cpdisacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__crealgla__35541763,dbo,arsyst,crealglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__crevlacc__71601421,dbo,arsyst,crevlacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__crfndacc__7254385A,dbo,arsyst,crfndacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__crtngacc__73485C93,dbo,arsyst,crtngacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__cstaxacc__743C80CC,dbo,arsyst,cstaxacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__arsyst__cwoffacc__2D48E147,dbo,arsyst,cwoffacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__brdist__cglacc__7530A505,dbo,brdist,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__brrcrt__cglacc__7624C93E,dbo,brrcrt,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__brrglr__cglacc__7718ED77,dbo,brrglr,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__brsyst__cchkacc__780D11B0,dbo,brsyst,cchkacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__brsyst__ccracc__790135E9,dbo,brsyst,ccracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__brsyst__cdbacc__79F55A22,dbo,brsyst,cdbacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__brsyst__cdepacc__7AE97E5B,dbo,brsyst,cdepacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__brtglr__cglacc__7BDDA294,dbo,brtglr,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
Campaign_Campbrand_fk,dbo,CampBrand,CampCatID,dbo,CampCat,ID,NO_ACTION,NO_ACTION
Campaign_CampCat_fk,dbo,CampCat,CampaignID,dbo,Campaign,ID,NO_ACTION,NO_ACTION
CampKit_CampComp_fk,dbo,CampComp,CampKitID,dbo,CampKit,ID,NO_ACTION,NO_ACTION
CampSku_CampComp_fk,dbo,CampComp,CampSkuID,dbo,CampSku,ID,NO_ACTION,NO_ACTION
FK_Camp_Comp_Kit,dbo,CampComp,CampKitID,dbo,CampKit,ID,CASCADE,NO_ACTION
FK_Camp_Detail_Sku,dbo,CampDetail,CampSkuID,dbo,CampSku,ID,CASCADE,NO_ACTION
FK_Camp_Kit_Sku,dbo,CampKit,CampSkuID,dbo,CampSku,ID,CASCADE,NO_ACTION
CampCat_CampSku_fk,dbo,CampSku,CampCatID,dbo,CampCat,ID,NO_ACTION,NO_ACTION
CampSpon_CampCat_fk,dbo,CampSpon,CampCatID,dbo,CampCat,ID,NO_ACTION,NO_ACTION
Campaign_CampSponSum_fk,dbo,CampSponSum,CampaignID,dbo,Campaign,ID,NO_ACTION,NO_ACTION
FK__cfflds__ctable__59FB8C2D,dbo,cfflds,ctable,dbo,cftble,ctable,NO_ACTION,NO_ACTION
FK__cflkcd__ctype__5CD7F8D8,dbo,cflkcd,ctype,dbo,cflktp,ctype,NO_ACTION,NO_ACTION
FK__cfsfld__5BE3D49F,dbo,cfsfld,ctable,dbo,cfflds,ctable,NO_ACTION,NO_ACTION
FK__cfsfld__5BE3D49F,dbo,cfsfld,cfield,dbo,cfflds,cfield,NO_ACTION,NO_ACTION
FK__cfsfld__cform__5AEFB066,dbo,cfsfld,cform,dbo,cfsfrm,cform,NO_ACTION,NO_ACTION
FK__cfspge__cform__5DCC1D11,dbo,cfspge,cform,dbo,cfsfrm,cform,NO_ACTION,NO_ACTION
FK__cfstbl__cform__5EC0414A,dbo,cfstbl,cform,dbo,cfsfrm,cform,NO_ACTION,NO_ACTION
FK__cfstbl__ctable__5FB46583,dbo,cfstbl,ctable,dbo,cftble,ctable,NO_ACTION,NO_ACTION
FK__cobank__cglacc__7CD1C6CD,dbo,cobank,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__cocurr__cxchgacc__7DC5EB06,dbo,cocurr,cxchgacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__costax__cptaxacc__00A257B1,dbo,costax,cptaxacc3,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__costax__cptaxacc__7EBA0F3F,dbo,costax,cptaxacc1,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__costax__cptaxacc__7FAE3378,dbo,costax,cptaxacc2,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__costax__cstaxacc__01967BEA,dbo,costax,cstaxacc1,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__costax__cstaxacc__028AA023,dbo,costax,cstaxacc2,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__costax__cstaxacc__037EC45C,dbo,costax,cstaxacc3,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
