SchemaName,TableName,IndexName,IndexType,is_unique,is_primary_key,IndexColumns
dbo,ap1099,PK__ap1099__B9AB22767F60ED59,CLUSTERED,1,1,"cvendno, cyear"
dbo,ap99up,PK__ap99up__B9AB22761E10BF58,CLUSTERED,1,1,"cvendno, cyear"
dbo,apamrt,PK__apamrt__2CDD98A64065D75C,CLUSTERED,1,1,cuid
dbo,apamrt,xvndinvuid,NONCLUSTERED,0,0,"cvendno, cinvno, capuid"
dbo,apamrth,PK__apamrth__2CDD98A6509C3F25,CLUSTERED,1,1,cuid
dbo,apamrth,xvndinvuid,NONCLUSTERED,0,0,"cvendno, cinvno, capuid"
dbo,apcacb,apcacb_xbankchk,NONCLUSTERED,0,0,"cbankno, cchkno"
dbo,apcacb,PK__apcacb__2CDD98A631EC6D26,CLUSTERED,1,1,cuid
dbo,apcapp,apcapp_xbnkchkinv,NONCLUSTERED,0,0,"cbankno, cchkno, cvendno, cinvno"
dbo,apcapp,apcapp_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno"
dbo,apcapp,PK__apcapp__2CDD98A6403A8C7D,CLUSTERED,1,1,cuid
dbo,apchck,apchck_xcheck,NONCLUSTERED,0,0,dcheck
dbo,apchck,apchck_xcreate,NONCLUSTERED,0,0,"dcreate, cchktype"
dbo,apchck,apchck_xpayto,NONCLUSTERED,0,0,cpayto
dbo,apchck,apchck_xtrf1,NONCLUSTERED,0,0,"ctogl, dcheck, cbankno, cchkno"
dbo,apchck,apchck_xvendno,NONCLUSTERED,0,0,cvendno
dbo,apchck,PK__apchck__4446B1E95CD6CB2B,CLUSTERED,1,1,"cbankno, cchkno"
dbo,apcont,apcont_xvendno,NONCLUSTERED,0,0,cvendno
dbo,apcont,PK__apcont__2CDD98A66FE99F9F,CLUSTERED,1,1,cuid
dbo,apdapp,apdapp_xdate,NONCLUSTERED,0,0,ddate
dbo,apdapp,apdapp_xvenddinv,NONCLUSTERED,0,0,"cvendno, cinvno, cdinvno"
dbo,apdapp,PK__apdapp__2CDD98A67B5B524B,CLUSTERED,1,1,cuid
dbo,apdist,apdist_xcreate,NONCLUSTERED,0,0,dcreate
dbo,apdist,apdist_xtrf1,NONCLUSTERED,0,0,"ctogl, dtrs, cglacc, cvendno, cinvno"
dbo,apdist,apdist_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno, ctype"
dbo,apdist,PK__apdist__2CDD98A605D8E0BE,CLUSTERED,1,1,cuid
dbo,apdisth,apdisth_xcreate,NONCLUSTERED,0,0,dcreate
dbo,apdisth,apdisth_xtrf1,NONCLUSTERED,0,0,"ctogl, dtrs, cglacc, cvendno, cinvno"
dbo,apdisth,apdisth_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno, ctype"
dbo,apdisth,PK__apdisth__2CDD98A6208CD6FA,CLUSTERED,1,1,cuid
dbo,apdnot,PK__apdnot__D3DF6FB93B40CD36,CLUSTERED,1,1,"cvendno, cinvno"
dbo,apdsta,apdsta_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno"
dbo,apdsta,PK__apdsta__2CDD98A660D2A6EE,CLUSTERED,1,1,cuid
dbo,apdstah,apdstah_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno"
dbo,apdstah,PK__apdstah__2CDD98A6013F7680,CLUSTERED,1,1,cuid
dbo,apdstc,PK__apdstc__2CDD98A621AC4612,CLUSTERED,1,1,cuid
dbo,apetrs,apetrs_xbankchk,NONCLUSTERED,0,0,"cbankno, cchkno"
dbo,apetrs,apetrs_xebatcno,NONCLUSTERED,0,0,cebatcno
dbo,apetrs,PK__apetrs__0902B47E2FFA6569,CLUSTERED,1,1,"cbankno, ctrsno"
dbo,apfinc,apfinc_xchgdate,NONCLUSTERED,0,0,dfincharge
dbo,apfinc,apfinc_xcreate,NONCLUSTERED,0,0,dcreate
dbo,apfinc,apfinc_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno"
dbo,apfinc,PK__apfinc__2CDD98A641EDCAC5,CLUSTERED,1,1,cuid
dbo,apfinch,apfinch_xchgdate,NONCLUSTERED,0,0,dfincharge
dbo,apfinch,apfinch_xcreate,NONCLUSTERED,0,0,dcreate
dbo,apfinch,apfinch_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno"
dbo,apfinch,PK__apfinch__2CDD98A64A8310C6,CLUSTERED,1,1,cuid
dbo,apinvc,apinvc_xbankno,NONCLUSTERED,0,0,cbankno
dbo,apinvc,apinvc_xclosed,NONCLUSTERED,0,0,dclosed
dbo,apinvc,apinvc_xcreate,NONCLUSTERED,0,0,dcreate
dbo,apinvc,apinvc_xdiscdate,NONCLUSTERED,0,0,"ddisc, cvendno"
dbo,apinvc,apinvc_xduedate,NONCLUSTERED,0,0,"ddue, cvendno"
dbo,apinvc,apinvc_xinvno,NONCLUSTERED,0,0,cinvno
dbo,apinvc,apinvc_xinvoice,NONCLUSTERED,0,0,dinvoice
dbo,apinvc,apinvc_xpayurgenc,NONCLUSTERED,0,0,"cpayurgenc, cvendno"
dbo,apinvc,apinvc_xpono,NONCLUSTERED,0,0,cpono
dbo,apinvc,apinvc_xref,NONCLUSTERED,0,0,"cref, cvendno"
dbo,apinvc,apinvc_xvendbank,NONCLUSTERED,0,0,"cvendno, cbankno"
dbo,apinvc,apinvc_xvendpo,NONCLUSTERED,0,0,"cvendno, cpono"
dbo,apinvc,apinvc_xvoucherno,NONCLUSTERED,0,0,cvoucherno
dbo,apinvc,PK__apinvc__D3DF6FB9531856C7,CLUSTERED,1,1,"cvendno, cinvno"
dbo,apinvch,apinvch_xbankno,NONCLUSTERED,0,0,cbankno
dbo,apinvch,apinvch_xclosed,NONCLUSTERED,0,0,dclosed
dbo,apinvch,apinvch_xcreate,NONCLUSTERED,0,0,dcreate
dbo,apinvch,apinvch_xdiscdate,NONCLUSTERED,0,0,"ddisc, cvendno"
dbo,apinvch,apinvch_xduedate,NONCLUSTERED,0,0,"ddue, cvendno"
dbo,apinvch,apinvch_xinvno,NONCLUSTERED,0,0,cinvno
dbo,apinvch,apinvch_xinvoice,NONCLUSTERED,0,0,dinvoice
dbo,apinvch,apinvch_xpayurgenc,NONCLUSTERED,0,0,"cpayurgenc, cvendno"
dbo,apinvch,apinvch_xpono,NONCLUSTERED,0,0,cpono
dbo,apinvch,apinvch_xref,NONCLUSTERED,0,0,"cref, cvendno"
dbo,apinvch,apinvch_xvendbank,NONCLUSTERED,0,0,"cvendno, cbankno"
dbo,apinvch,apinvch_xvendpo,NONCLUSTERED,0,0,"cvendno, cpono"
dbo,apinvch,apinvch_xvoucherno,NONCLUSTERED,0,0,cvoucherno
dbo,apinvch,PK__apinvch__D3DF6FB914E61A24,CLUSTERED,1,1,"cvendno, cinvno"
dbo,apraca,apraca_xporcpt,NONCLUSTERED,0,0,"cpono, crcptno"
dbo,apraca,apraca_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno"
dbo,apraca,PK__apraca__2CDD98A656B3DD81,CLUSTERED,1,1,cuid
dbo,apracah,apracah_xporcpt,NONCLUSTERED,0,0,"cpono, crcptno"
