SchemaName,ProcedureName,create_date,modify_date
dbo,6vsp_brtfer_transfer_auto_76,2010-09-01 23:18:09.230,2017-04-20 09:07:45.327
dbo,AutoPick,2014-06-02 11:14:09.913,2019-06-28 11:32:31.453
dbo,Camp_NewMonth,2022-08-01 10:14:41.910,2022-10-01 09:49:44.293
dbo,get_hostessgift,2014-05-29 16:25:25.750,2018-08-29 14:05:18.387
dbo,NOP_UpdateExclusiveItemCode,2025-09-29 13:13:30.300,2025-09-29 13:17:48.907
dbo,Over_App,2018-07-19 13:20:19.330,2019-06-24 15:04:02.737
dbo,RE_CLEARLOG,2016-05-30 08:40:25.913,2016-05-30 08:40:25.913
dbo,RE_GLMARK,2023-12-14 15:57:17.163,2023-12-14 16:03:19.807
dbo,Return_App,2018-08-30 16:09:32.683,2018-08-30 16:17:17.673
dbo,Searchinall,2022-06-17 10:37:55.627,2022-06-17 10:37:55.627
dbo,sp_alert_invoiceTracking,2022-05-19 12:34:33.790,2024-05-06 10:32:26.323
dbo,sp_alert_mkMTDSMS,2022-05-19 08:36:43.810,2025-07-02 10:56:11.917
dbo,sp_alert_MTDSMS,2020-11-13 13:11:39.203,2023-01-13 08:20:53.897
dbo,sp_alert_orderstats,2018-09-04 15:32:14.407,2018-09-21 12:43:33.487
dbo,sp_alert_rateofsale,2019-02-20 16:45:13.310,2022-09-07 10:21:23.140
dbo,sp_Alert_TrackingJob,2022-05-20 12:09:42.820,2022-11-16 10:55:22.430
dbo,sp_alterdiagram,2011-07-28 10:46:26.157,2013-08-20 08:16:08.823
dbo,sp_bi_updatesalesmainf,2019-03-07 11:32:39.040,2019-03-07 11:37:17.923
dbo,sp_Camp_AddKit,2022-07-28 17:15:39.273,2022-07-28 17:15:39.273
dbo,sp_Camp_BrandByMonth,2022-06-08 15:20:48.707,2022-06-08 15:20:48.707
dbo,sp_Camp_Build,2022-06-08 17:09:29.413,2022-07-04 16:39:47.317
dbo,sp_Camp_CatSummary,2022-06-08 15:20:50.513,2024-07-04 11:27:55.367
dbo,sp_Camp_Create,2022-07-05 12:59:06.077,2025-07-07 15:24:13.777
dbo,sp_Camp_CreateFromNPD,2022-07-22 13:52:59.090,2025-07-16 11:35:59.490
dbo,sp_Camp_Full,2022-06-08 15:20:51.100,2022-06-08 15:20:51.100
dbo,sp_Camp_GetCamp,2022-06-08 15:20:51.697,2025-12-15 10:10:19.967
dbo,sp_Camp_GetCost,2022-06-08 15:20:52.273,2025-07-18 10:57:10.047
dbo,sp_Camp_GetCurrent,2022-06-08 15:20:52.853,2022-06-08 15:20:52.853
dbo,sp_Camp_getHostessgift,2022-07-14 18:23:09.153,2023-08-31 09:51:24.423
dbo,sp_Camp_GetItemLookups,2022-06-08 14:07:21.960,2025-08-15 10:17:35.347
dbo,sp_Camp_GetPrice,2022-06-08 15:20:54.017,2022-06-08 15:20:54.017
dbo,sp_Camp_GetSku,2022-06-08 15:20:54.597,2023-07-19 12:25:17.060
dbo,sp_Camp_GetSponTypes,2022-06-08 15:20:55.180,2022-06-08 15:20:55.180
dbo,sp_camp_getSPprice,2022-07-13 18:36:00.590,2022-07-13 18:48:06.287
dbo,sp_Camp_SetCat,2022-06-08 15:20:55.800,2023-03-28 17:35:25.670
dbo,sp_Camp_SkuByMonth,2022-06-08 15:20:56.440,2022-06-08 15:20:56.440
dbo,sp_Camp_SkuByMonthVert,2022-06-08 15:20:57.023,2023-07-19 12:22:21.673
