SchemaName,ViewName,create_date,modify_date
dbo,a,2010-09-29 12:43:09.673,2013-08-20 08:15:31.677
dbo,AAA,2014-03-12 18:54:39.283,2014-03-12 19:02:31.060
dbo,aaaa,2013-10-24 12:12:05.227,2013-10-24 12:17:31.997
dbo,ABS406_Unba_Dep_Tran,2010-08-13 08:34:18.213,2013-08-20 08:15:31.637
dbo,ABS406_Unbal_Dep_Amt,2010-08-13 08:32:05.490,2013-08-20 08:15:31.597
dbo,ABS423_Unbal_Dep_Amt,2010-08-12 18:33:00.943,2013-08-20 08:15:31.553
dbo,ABS423_Unbal_Dep_Tran,2010-08-12 18:31:54.723,2013-08-20 08:15:31.510
dbo,ABS477_Unbal_Dep_Amt,2010-08-13 08:35:37.990,2013-08-20 08:15:31.463
dbo,ABS477_Unbal_Dep_Tran,2010-08-13 08:37:02.970,2013-08-20 08:15:31.420
dbo,ABS598_Unbal_Dep_Amt,2010-08-13 08:38:58.677,2013-08-20 08:15:31.370
dbo,ABS598_Unbal_Dep_Tran,2010-08-13 08:38:13.317,2013-08-20 08:15:31.317
dbo,ABSEUR_Unbal_Dep_Amt,2010-08-13 08:41:18.450,2013-08-20 08:15:31.257
dbo,ABSEUR_Unbal_Dep_Tran,2010-08-13 08:42:35.090,2013-08-20 08:15:31.160
dbo,ABSUSD_Unbal_Dep_Amt,2010-08-13 08:44:43.070,2013-08-20 08:15:31.093
dbo,ABSUSD_Unbal_Dep_Tran,2010-08-13 08:44:02.840,2013-08-20 08:15:31.043
dbo,acc,2011-07-22 11:43:18.243,2013-08-20 08:15:30.990
dbo,adddiscount,2012-09-21 17:14:12.650,2013-08-20 08:15:30.930
dbo,AG_Arcust,2011-10-31 14:52:21.247,2017-01-03 11:37:57.243
dbo,AG_arrevn,2011-10-31 17:43:59.153,2013-08-20 08:15:30.807
dbo,AG_Auto4,2014-08-25 14:33:59.030,2016-02-20 18:21:42.957
dbo,AG_AutoIn1,2014-06-05 15:14:41.710,2015-09-14 18:10:14.220
dbo,AG_AutoIn1_Nam,2014-06-05 16:10:52.563,2015-09-14 18:10:23.883
dbo,AG_AutoIn2,2014-06-05 18:36:25.937,2016-06-07 14:59:46.397
dbo,AG_AutoIn2_Nam,2014-06-05 18:39:12.567,2016-06-07 14:59:59.103
dbo,AG_AutoIn3,2014-06-05 18:37:03.810,2016-06-07 15:04:08.340
dbo,AG_AutoIn3_Nam,2014-06-05 18:39:47.483,2016-06-07 15:04:14.900
dbo,AG_Bal1,2012-04-19 10:48:39.133,2015-07-08 14:50:53.350
dbo,AG_Bal2,2012-04-19 10:55:55.977,2015-07-08 15:02:33.207
dbo,AG_Bal3,2012-04-19 11:27:58.820,2015-06-18 11:41:15.560
dbo,AG_Bal4,2012-04-19 11:30:17.397,2015-06-18 11:40:31.567
dbo,AG_BAL5,2012-04-19 13:41:27.500,2013-08-20 08:15:30.447
